N dis_x_std b condition H p damaged_fraction undamaged_N outputs_fraction_hlt flux_fraction_hlt n active_fraction_hlt q dis_x_avg inputs active_fraction_dis inputs_fraction undamaged_fraction flux_fraction_dis dis_y_avg order dis_y_std outputs_fraction_dis L damaged_nodes
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.22777777777777775 1.0 0.0 0.0 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0125 1.0 0.22777777777777775 1.0 0.0125 0.25 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.015 1.0 0.22777777777777775 1.0 0.015 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.015 1.0 0.22777777777777775 1.0 0.015 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.015 1.0 0.22777777777777775 1.0 0.015 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0125 1.0 0.22777777777777775 1.0 0.0125 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.015 1.0 0.22777777777777775 1.0 0.015 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.015 1.0 0.22777777777777775 1.0 0.015 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0125 1.0 0.22777777777777775 1.0 0.0125 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0125 1.0 0.22777777777777775 1.0 0.0125 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0125 1.0 0.22777777777777775 1.0 0.0125 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.015 1.0 0.22777777777777775 1.0 0.015 0.25 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.015 1.0 0.22777777777777775 1.0 0.015 0.25 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.015 1.0 0.22777777777777775 1.0 0.015 0.25 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.015 1.0 0.22777777777777775 1.0 0.0125 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.015 1.0 0.22777777777777775 1.0 0.0125 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.22777777777777775 1.0 0.0 0.0 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.22777777777777775 1.0 0.0 0.0 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.22777777777777775 1.0 0.0 0.0 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.22777777777777775 1.0 0.0 0.0 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.22777777777777775 1.0 0.0 0.0 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.22777777777777775 1.0 0.0 0.0 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.22777777777777775 1.0 0.0 0.0 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.22777777777777775 1.0 0.0 0.0 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.22777777777777775 1.0 0.0 0.0 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.22777777777777775 1.0 0.0 0.0 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0125 1.0 0.22777777777777775 1.0 0.0125 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0125 1.0 0.22777777777777775 1.0 0.0125 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0025 1.0 0.22777777777777775 1.0 0.0025 0.05 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0075 1.0 0.22777777777777775 1.0 0.0075 0.15 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.015 1.0 0.22777777777777775 1.0 0.015 0.3 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0125 1.0 0.22777777777777775 1.0 0.0125 0.25 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.005 1.0 0.22777777777777775 1.0 0.005 0.1 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
400.0 0.07637626158259733 0.75 1.0 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.01 1.0 0.22777777777777775 1.0 0.01 0.2 0.975 0.0 0.335 1.0 0.045 0.0 20.0 10.0
